id,제조사,이름,배터리,이미지,cpu,램 용량,램 상세,화면크기,화면상세,그래픽,저장용량,저장용량 상세,무게,가격
1,에이서,스위프트 GO 16 OLED SFG16-71-51BY,50.00,https://img.danawa.com/prod_img/500000/613/017/img/20017613_1.jpg?shrink=130:130&_v=20230511093333,인텔 코어i5-13세대 i5-13420H (2.1GHz) 옥타코어(4P+4E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,16,40.8cm(16인치)/3200x2000(WQHD+)/500nit/주사율:120Hz/,내장그래픽 / UHD Graphics /,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.60,998990
2,한성컴퓨터,Bossmonster GTX73 N9X7Q24,73.00,https://img.danawa.com/prod_img/500000/280/210/img/19210280_1.jpg?shrink=130:130&_v=20230324173744,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.80,2088000
3,한성컴퓨터,Bossmonster GTX63 T9X6Q16,73.00,https://img.danawa.com/prod_img/500000/578/209/img/19209578_1.jpg?shrink=130:130&_v=20230420165739,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.50,1799000
4,MSI,모던시리즈 모던 15 B12M-i5,39.30,https://img.danawa.com/prod_img/500000/517/810/img/19810517_1.jpg?shrink=130:130&_v=20230511092716,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),8,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/,내장그래픽 / Iris Xe /,512,M.2(NVMe)/512GB/,1.70,550000
5,에이서,프레데터 Helios Neo 16 PHN16-71 4060,90.00,https://img.danawa.com/prod_img/500000/224/530/img/19530224_1.jpg?shrink=130:130&_v=20230419111515,인텔 코어i7-13세대 i7-13700HX (2.1GHz)  16코어(8P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:165Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.60,1790000
6,MSI,사이보그 15 A12VF,53.50,https://img.danawa.com/prod_img/500000/312/355/img/19355312_1.jpg?shrink=130:130&_v=20230330091708,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),8,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1330080
7,레노버,요가 Slim7 ProX 14IAH7 82TK009TKR,70.00,https://img.danawa.com/prod_img/500000/479/578/img/19578479_1.jpg?shrink=130:130&_v=20230413091510,인텔 코어i5-12세대 i5-12500H (2.5GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/5200MHz/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/3072x1920/400nit/주사율:120Hz/,외장그래픽 /RTX3050/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.45,1399000
8,MSI,GF시리즈 Sword GF76 B13VFK WIN11 32GB램,53.50,https://img.danawa.com/prod_img/500000/849/109/img/19109849_1.jpg?shrink=130:130&_v=20230309090407,인텔 코어i7-13세대 i7-13620H (2.4GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:105W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.60,1798980
9,삼성전자,갤럭시북2 NT550XEZ-A58A 16GB램,43.00,https://img.danawa.com/prod_img/500000/064/578/img/17578064_1.jpg?shrink=130:130&_v=20220802084736,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,DDR4/램 용량:16GB/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / UHD Graphics /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.80,691930
10,LG전자,2022 그램15(12세대) 15ZD95Q-GX56K WIN11,80.00,https://img.danawa.com/prod_img/500000/613/631/img/18631613_1.jpg?shrink=130:130&_v=20230209091735,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.14,1188560
11,LG전자,2023 그램16 16ZD90R-GX56K,80.00,https://img.danawa.com/prod_img/500000/439/799/img/18799439_1.jpg?shrink=130:130&_v=20230223092448,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/6000MHz/ 램 교체: 불가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.20,1478980
12,LG전자,2022 그램16(12세대) 16ZD95Q-GX56K WIN11,80.00,https://img.danawa.com/prod_img/500000/244/634/img/18634244_1.jpg?shrink=130:130&_v=20230223092225,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.20,1291560
13,에이서,프레데터 Helios 18 PH18-71 4070,90.00,https://img.danawa.com/prod_img/500000/186/160/img/19160186_1.jpg?shrink=130:130&_v=20230302091453,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,18,45.72cm(18인치)/2560x1600(WQXGA)/300nit/주사율:165Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,3.16,2690000
14,삼성전자,갤럭시북2 NT550XEZ-A38A,43.00,https://img.danawa.com/prod_img/500000/514/227/img/17227514_1.jpg?shrink=130:130&_v=20230419120942,인텔 코어i3-12세대 i3-1215U (1.2GHz) 헥사코어(2P+4E),8,DDR4/램 용량:8GB/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / UHD Graphics /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.80,568990
15,HP,오멘 16-n0094AX,83.00,https://img.danawa.com/prod_img/500000/838/501/img/19501838_1.jpg?shrink=130:130&_v=20230406090425,AMD 라이젠7-5세대 6800H (3.2GHz) 옥타(8)코어,16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16.1,40.9cm(16.1인치)/2560x1440(QHD)/300nit/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,512,M.2(NVMe)/512GB/,2.35,1698000
16,한성컴퓨터,Bossmonster GTX73 N9X6Q24,73.00,https://img.danawa.com/prod_img/500000/139/210/img/19210139_1.jpg?shrink=130:130&_v=20230324173546,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.80,1786000
17,삼성전자,갤럭시북3 프로 NT940XFT-A51A,63.00,https://img.danawa.com/prod_img/500000/935/906/img/18906935_1.jpg?shrink=130:130&_v=20230228083944,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,14,35.6cm(14인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.17,1430990
18,MSI,사이보그 15 A12VF WIN11 32GB램,53.50,https://img.danawa.com/prod_img/500000/666/424/img/19424666_1.jpg?shrink=130:130&_v=20230406091221,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1349420
19,삼성전자,갤럭시북3 NT750XFT-A71A,54.00,https://img.danawa.com/prod_img/500000/218/959/img/19959218_1.jpg?shrink=130:130&_v=20230511093240,인텔 코어i7-13세대 i7-1355U (1.7GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / Iris Xe /,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.57,1249000
20,삼성전자,갤럭시북3 NT750XFS-G51A,54.00,https://img.danawa.com/prod_img/500000/334/846/img/19846334_1.jpg?shrink=130:130&_v=20230511093100,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,외장그래픽 /Arc A350M/VRAM:4GB/,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.60,1149000
